Copyright © 2007 Nokia. All rights reserved.
This document is confidential information of Nokia.
Nokia operates a policy of continuous development.
The information which this document contains reflects our understanding at the time when presented.
Nokia reserves the right to revise this document or withdraw it at any time
without prior notice and states no obligation to update the data included in this document.
The contents of this document are provided "AS IS". 
Name,Description,RequirementID,Runtime variation name,Runtime variation ID
FF_DEVICE_DIAGNOSTICS_APP,"On enabling this feature flag GSDevDiagPlugin.dll would start the DevDiagApp.exe. This would load all related plugins. The Diagnostics application offers self-test service on the Mobile Applications and hardware for the phone users.",107-22052,,
FF_DM_INSTALL_SECURITY,"OMA DM SW installer implementation included in build.",,KFeatureIdDmInstallSecurity,5065
FF_EMAIL_FRAMEWORK,"Defines whether the product includes the email multiprotocol framework. When the flag is defined all parts constituting new email solution are in ROM: application, plugin framework + imap/pop plugin and related settings UIs. 

legacy email (__EMAIL_UI) must be disabled when FF_EMAIL_FRAMEWORK is enabled.",417-7616,KFeatureIdFfEmailFramework,135
FF_EMAIL_HOMESCREEN,"The flag is intended for controlling the email homescreen support; homescreen email widget/plugin and the related data collection functions.
",417-7616,KFeatureIdFfEmailHomescreen,151
FF_EMAIL_IPS_SERVICES,"Defines whether the product includes IMAP4, POP3 and SMTP protocol support.",417-7616,KFeatureIdFfEmailIpsServices,137
FF_EMAIL_MCE_INTEGRATION,"This enables email client selection in MCE. Fex. Freestyle email mailboxes  goes under email folder in mce-serttings. mce and sendui. Freestyle email settings can be changed from mce-settings.
 All you need to do is install own mtm-plugin and configure central repository key.

",417-2279,KFeatureIdEmailMceIntegration,126
FF_EMAIL_UI,"Defines whether the product includes email UI application",417-7616,KFeatureIdFfEmailUi,136
FF_EMPTY_COMMSDAT,"The override flags FF_EMPTY_COMMSDAT, FF_VANILLA_COMMSDAT and FF_RND_COMMSDAT determine which default CommsDat will be put to the image independent of image type (prd or rnd):

- FF_EMPTY_COMMSDAT: Completely empty CommsDat is used. Typically needed as the base when creating operator variants with Configuration Tool and CommsDatCreator. Same as old FF_COMMSDAT_GENERATION_FROM_XML.

- FF_VANILLA_COMMSDAT: Otherwise empty CommsDat but the S60 default destinations (Internet, MMS and Operator) as well as the Easy WLAN IAP (in case of WLAN product) is included. This is suitable for vanilla variants of the phones.

- FF_RND_COMMSDAT: Platform releases contain typically the RND CommsDat that has Nokia Test Network IAPs as well as some Finnish operator IAPs (DNA, Sonera, Elisa) for RnD purposes.

Maximum of one of these flags should be defined at the time. 

If none of the override flags is defined then the used CommsDat depends on the image type: vanilla CommsDat is used for PRD image and RnD CommsDat for the RnD image. This is typically how it should be and the override flags should only be used if some special functionality is needed.
","TSW Error ID: MVLA-7JQG6U",,
FF_FLASHLITE_SCREENSAVER,"When enabled/defined flash can be used as Screensaver.",101-13428,,
FF_FMTX,"FMTX application and Nseries Music Player support for FMTX","103-3235: FMTx support in Juno music player",KFeatureIdFmtx,1705
FF_FULLSCR_HWR_INPUT,"Indicates whether a device needs fullscreen HWR (HandWritingRecognition) input or not.",106-1202,KFeatureIdFullscrHwrInput,66
FF_GENERIC_FONTS_ASSETS,"This flag is used to check if generic font assets are to be used, this is used for Symbian foundation where freetype rasterize as well as EFF fonts need to be used.",.,KFeatureIdFfGenericFontsAssets,188
FF_HDMI,"Feature flag to indicate HDMI availability.  IIf defined, device supports HDMI (High Definition Multimedia Interface)",404-4296,KFeatureIdFfHdmi,169
FF_HELP_TUTORIAL_MERGE,"The end-user shall be provided with animated help (tutorial kontent) from CSX Help application. Both applications will continua existing as separate applications, though Tutorial will not be visible in application grid, but only provide animated content for CSX Help.

This is for REQ 417-16797. Help & Tutorial will look like one application. User will not feel that they are 2 different applications. To implement this REQ without breaking the compatibility, one feature flag is needed to make Help & Toturial applications know if Tutorial is embedded in Help or running as a standalone application. Also refer to REQ 101-39505.","101-39505 & 417-16797",KFeatureIdFfHelpTutorialMerge,164
FF_HITCHCOCK_APP_SHELL,"""Feature flag 'FF_HITCHCOCK_MENU' to control which AppShell menu to use. If disabled, old xml based menu2, and if enabled, new hitchcock based menu3.""",,KFeatureIdHitchcockAppShell,1708
FF_HOMESCREEN_COMMON_IDLEFW,"Feature flag for enabling common idle framework to support new widgetized stand-by mode application of Active Idle 3 on S60 by REQ ""101-40598: HomeScreen: 3rd Party widget support"" as alternative of existing Active Idle 2 and yet enabling even custom made stand-by mode app to be active. The binary objects which comprise common idle framework related components and new active stand-by application, selection of alternative,  and its depended components, can be selected at image creation time in case where common ilde fw is accepted by product/variant decicion.","101-40598: HomeScreen: 3rd Party widget support",,
FF_HOMESCREEN_OPEN_MENUFW,"Feature flag for activation of open menu framework to support alternative main menu applications on S60 by REQS ""101-40417: Open Shell UI internal menu model for other applications"", ""417-8821: Non-touch VGA support for Matrix"" and ""404-3950: Matrix: Basic Menu"". Existing main menu app, Hitchcock AppShell, can still be used if product/variant decides so, however, open menu fw which enables altenative menu applications to run on same content, can be chosen as well. The binary objects which comprise open menu fw and active main menu application with its depended components can be selected at image creation time, as well as it is possible to request appropriate main menu application UID when needed to configure S60. These requests are, for example, setting the application UID to launch main menu by ""applications"" hw-key and hide menu application from itself etc. ","101-40417: Open Shell UI internal menu model for other applications; 417-8821: Non-touch VGA support for Matrix; 404-3950: Matrix: Basic Menu",,
FF_HOMESCREEN_SWITCHABLE_ROOT,"Homescreen root configuration replaces existing concept of Active Idle themes/modes from S60 5.1. FF_HOMESCREEN_SWITCHABLE_ROOT variates S60 by enabling/disabling possibility to switch homescreen root. Homescreen root switch must be enabled to end user to select operator/product  specific alternative homescreen active, for example, an alternative root or External Homescreen. This feature must be able to set at run time also for post-product provision of alternative homescreen.","101-40598: HomeScreen: 3rd Party widget support",KFeatureIdFfHomescreenSwitchableRoot,154
FF_IAUPDATE,"If defined, the phone supports Independent Application Update feature.",403-9634,KFeatureIdIAUpdate,30
FF_IAUPDATE_PHASE2,"Flag to control whether phone's Independent Application Update feature, controlled by FF_IAUPDATE, is version two or later, a.k.a. IAD client phase 2.",417-5778,KFeatureIdFfIaupdatePhase2,185
FF_IMAGEPRINT_BT_PROTOCOL,"Flag to control whether ImagePrint supports Bluetooth-printing",417-2350,,
FF_IMAGEPRINT_MEMORYCARD_PROTOCOL,"Flag to define whether ImagePrint supports printing to memorycard",417-2350,,
FF_IMAGEPRINT_PICTBRIDGE_PROTOCOL,"Flag to define whether ImagePrint supports PictBridge printing - meaning printing over USB.",417-2350,,
FF_IMAGEPRINT_UPNP_PROTOCOL,"Flag to define whether ImagePrint supports UPnP printing",417-2350,,
FF_JAVA_GLOBAL_INDICATORS_API,"Enables Java Global Indicator API. Global Indicator API can be used to add indicators to phone status pane.",403-9427,KFeatureIdFfJavaGlobalIndicatorsApi,134
FF_LAYOUT_360_640_NONTOUCH,"New non touch NHD (=QHD) resolution. Flag determine which layout dlls are put to hw image. ",,,
FF_LAYOUT_480_640_VGA3,"Layout data for VGA3 resolution.",,,
FF_LAYOUT_640_360_NONTOUCH,"New non touch NHD (=QHD) resolution.  Flag determine which layout dlls are put to hw image.
",,,
FF_LAYOUT_640_480_VGA3,"Layout data for VGA3 resolution.",,,
FF_LBT_ENGINE,"To enable/disable LBT engine from S60. By default this should be ON
The Location Triggering subsystem provides a service to applications for notifications based on the user’s location. Applications can create and remove location based triggers, and applications can be notified or started when one of their triggers is fired, i.e. the triggering conditions are met
Feature wiki : https://s60wiki.nokia.com/S60Wiki/Location_based_triggering
REQ: 101-34742
BREL : 405-1756",101-34742,,
FF_LBT_EVENTSUI,"To enable EventsUi application. Default is ON
Location events  help the users to create location-based reminders. It allows the user to create a event and assign a location to it.  When you get close by to the location, it prompts you with a reminder by playing a alarm tone or displaying a text note or voice note assigned to that event.
REQ : 403-1621
BREl : 405-1781",,,
FF_LBT_MGTUI,"To enable/disable the LBT management UI. Default is On
Settings for Location based trigerring subsystem.
REQ : 403-1621
BREl : 405-1781",101-34742,,
FF_LINKED_FONTS_CHINESE,"For enabling linked font in Chinese a new feature flag FF_LINKED_FONTS_CHINESE is needed.
This flag controls whether a single Chinese font or a linked font is used in Chinese builds. The linked font will contain latin set from normal S60 latin fonts and a Chinese part which is the current Chinese font unchanged. To be used in Chinese variants only.",404-1589,KFeatureIdFfLinkedFontsChinese,159
FF_M3G_ICON_RESOURCES,"Controls whether the m3g icon resources are included in the ROM image or not.","""TSW error SUCA-75NEL6: 3D Menu, Cannot disable 3D menu in variant image""",KFeatureIdM3gIconResources,1707
FF_MDS_CAMERA_SUPPORT,"Enables camera application support for Metadata system.",414-5077,,
FF_MEETING_REQUEST_UI,"Meeting request UI from Custom SW will be is part of Common Email. This new flag replaces Custom SW specific flag FF_ES_MEETING_REQUEST_UI used in Freestyle. MR UI (viewer) is visible to Email application as Ecom plugin.

If the flag is not defined, MR UI related components are not in ROM.",417-7616,KFeatureIdFfMeetingRequestUi,174
FF_MENU_TEXTURE_PRELOADING,"In Menu (AppShell) application the performance of changing the folder has been poor in 5.0 (uses Hitchcock). By loading the Hitchcock textures for all the icons in advance improves the performance radically. The side effect is the increased memory consumption. This flag enables/disables the texture pre-loading.",,KFeatureIdFfMenuTexturePreloading,118
FF_MMS_POSTCARD_INCLUDE_IN_ROM,"This flags controls whether the MMS Postcard ROM files are included in the build.","401-1806: MMS Postcard runtime enabling/disabling",,
FF_NCD_ENGINE,"This flag enables building the NCD Engine to S60 release.",401-1221,KFeatureIdFfNcdEngine,61
FF_NCD_UI,"This flag enables building the NCD UI to S60 release.",403-6912,KFeatureIdFfNcdUi,62
FF_NEAR_FIELD_COMMUNICATION,"A feature flag for Near Field Communication feature",101-30282,KFeatureIdNfc,117
FF_NLT_SUPPORT,"This enables National Language Table(NLT) support for encoding SMS messages. Characters specific to a language must be encoded using the corresponding NLT, so that the message can be sent and received using a 7-bit alphabet without any loss of information. The method is specified in 3GPP TS 23.038 v8.0.0 and TS 23.040 v8.1.0. ",417-16061,KFeatureIdNltSupport,155
FF_NO_IDLE_SOFTKEYS,"When the flag is set, Active Idle does not have any softkeys.
",404-3709,KFeatureIdNoIdleSoftkeys,68
FF_OOM_MONITOR2_COMPONENT,"Feature flag for controlling the inclusion of Out-of-Memory2 component into the ROM image.
",422-117,,
FF_ORIENTATION_ACTION_RULE_90,"This flag relates to autorotation feature. It is needed to set right display orientation for different products because sensors are located in different place in different product. The flag selects correct set of rule files for Context Framework / Applicationstatesourceplugin component, which depend on used sensor.
",403-9712,,
FF_PLATFORM_SIMULATOR,"Platform Simulator product makes it possible to execute software on simulated target hardware using a Windows or Linux workstation. Platform Simulator is based on ARM® RealView® tools that support modeling terminal hardware using LISA language. Platform Simulator runs any OS e.g. S60 or Linux. The OS is introduced to the simulator as a core image loaded into the simulated flash memory. 

Compared to WINS emulator Platform Simulator based S60 simulation is much closer to exeuction on real hardware. Yet there has to be some differences in the S60 core image. Thus the need for FF_PLATFORM_SIMULATOR flag. The flag  controls S60 PPD release based core image creation for two alternate targets: 
 - FLAG DEFINED = compilation shall include components and configurations for simulated hardware
 - FLAG UNDEFINED = compilation shall include components and configurations for real hardware
 
The NCP_COMMON_PLATFORM_SIMULATOR flag has strict dependency to the FF_PLATFORM_SIMULATOR flag.

Platform Simulator pilot 1 release models PP71 hardware i.e. a plain RAPU 1.1 configuration. In the future the Platform Simulator targets to support selected new reference hardware configurations. This makes the flag lifetime permanent.",,,
FF_PNPMS_PROV_FILTER,"On enabling this feature flag pnpprovfilter.dll will be created and this feature flag is used to enable PNPProvisioning HTTP filter which by passes the download manager launching PNPMS provisioning engine.",101-34635,KFeatureIdFfPnpmsProvFilter,133
FF_PNPMS_SERVICE_HELP_PLUGIN,"This feature flag is required for launching PNPMS application from general settings/Control Panel. On enabling this feature flag servicehelpplugin.dll will be created and when this feature is enabled Service Help Icon will be present in General Settings/Control Panel. Service Help will launch browser on selection and direct the browser with predefined PnPMS server URL where user can download provisioning settings over HTTP from web server.",101-34635,KFeatureIdPnpmsServiceHelpPlugin,128
FF_POWER_SAVE,"""Power save mode is a collection of features which are put in a power saving mode. These features are i.e. display light brightness, light time outs etc. Power save mode can be extended to be supported by any application which can do something to save battery by implementing the needed power save mode APIs.""","107-26287: S60 Power Management enablers",KFeatureIdPowerSave,1709
FF_PREMINET_CATALOGS_CLIENT,"Preminet Catalogs client.",,KFeatureIdPreminetCatalogsClient,1719
FF_PROV_AUTHTYPE_PLUGIN,"This flag enables Authentication type plugin. On enabling this feature flag Authtypeplugin.dll will be created and this feature will be enabled and authetication type can be changed for configuration message from UI which will enable item in General Settings and on selection of this item will open list dialog for changing the authentication type.",404-4928,KFeatureIdProvAuthtypePlugin,100
FF_QWERTY_FN_KEY,"The device has a Fn key","RM-RIM ID: Req. 403-492: Generic QWERTY framework",KFeatureIdQwertyFnKey,1714
FF_RND_COMMSDAT,"The override flags FF_EMPTY_COMMSDAT, FF_VANILLA_COMMSDAT and FF_RND_COMMSDAT determine which default CommsDat will be put to the image independent of image type (prd or rnd):

- FF_EMPTY_COMMSDAT: Completely empty CommsDat is used. Typically needed as the base when creating operator variants with Configuration Tool and CommsDatCreator. Same as old FF_COMMSDAT_GENERATION_FROM_XML.

- FF_VANILLA_COMMSDAT: Otherwise empty CommsDat but the S60 default destinations (Internet, MMS and Operator) as well as the Easy WLAN IAP (in case of WLAN product) is included. This is suitable for vanilla variants of the phones.

- FF_RND_COMMSDAT: Platform releases contain typically the RND CommsDat that has Nokia Test Network IAPs as well as some Finnish operator IAPs (DNA, Sonera, Elisa) for RnD purposes.

Maximum of one of these flags should be defined at the time. 

If none of the override flags is defined then the used CommsDat depends on the image type: vanilla CommsDat is used for PRD image and RnD CommsDat for the RnD image. This is typically how it should be and the override flags should only be used if some special functionality is needed.
","TSW errors: MVLA-7JQG6U",,
FF_ROCKER_KEY,"The device has multidirectional ""rocker"" key.
",417-7276,KFeatureIdRockerKey,120
FF_ROM_INCLUDE_ALF,"This flags controls whether the UI Accelerator toolkit (ALF) is included in the build.","403-3876: Hitchcock UI Toolkit for 3.2",,
FF_S60_HELPS_IN_USE,"Platform helps are included into image based on this flag.",,,
FF_S60_POSTING_IMPLEMENTATION_IN_USE,"Flag to enable/disable usage of S60 implementation of posting surface api. Default value for this is disabled.","TSW error JAIN-7M7GXZ",,
FF_SELECTABLE_EMAIL,"This enables selectable default email. When write message->email is selected from sendui (with multible mailboxes), the default email account is the initial selection. Default mailbox can be set from mce-settings.",417-2279,KFeatureIdSelectableEmail,125
FF_SENSOR_FW,"FF_SENSOR_FW flag is used for image creation time variation of the sensor framework. 
Flag should be defined for products that have sensors and undefined for products that do not.","TSW error EIAL-7JTFXB",,
FF_SHOW_MMPLAYER,"By default S60 Media Player will be hidden from UI, and  only be accessible through embedded playback use cases (e.g browser, messaging, file browser, etc). 

This flag will will allow product manufacturers to re-enable Media Player and display it in the application shell if desired.  
","409-1439 Remove Media Player as a standalone application",,
FF_SIMLESS_OFFLINE_SUPPORT,"Enable / disable SIMless Offline Mode.",,KFeatureIdFfSimlessOfflineSupport,130
FF_STARTUP_OMA_DM_SUPPORT,"The flag will be used to enable receiving OMA CP/DM messages during system start-up in those devices that need the feature.",403-6367,KFeatureStartupOmaDmSupport,40
FF_SYSAP_TIMECHANGEOBSERVER_ENABLED,"SysAp time change observer is needed to inform custom driver about user clock time change.
",417-32104,KFeatureIdSysapTimechangeobserverEnabled,178
FF_TACTICONS,"Tacticons are haptic effects that can be played by the applications to indicate success or failure of actions. Tacticons can be also automatically played together with some Sound IDs.
",101-13979,KFeatureIdFfTacticons,184
FF_TACTILE_FEEDBACK,"Device supports Tactile Feedback. Tactile feedback is produced by UI components and applications on pointer down events. Actual physical feedback effect (vibra/audio/no feedback) depends on current settings and device configuration.","101-31375: Audio and tactile feedback 403-2673: Tactile feedback migration: UI framework area",KFeatureIdTactileFeedback,1718
FF_TCP_MYFAVES_FEATURE,"The feature flag is to turn ON/OFF MyFaves feature in a S60 3.2 complementary package.","403-1400: MyFaves (Olympia) v1.5 for T-Mobile EU",KFeatureIdTcpMyfavesFeature,1722
FF_TCP_MYPROFILE,"This feature flag is for enabling/disabling MyProfile feature in T-Mobile Complementary package(both International & US)on S60 3.2.3. This feature flag is valid for MyProfile UI & MyProfile synchronization.","RM-RIM-ID: 417-21315",KFeatureIdFfTcpMyprofile,186
FF_TEST_AT_COMMAND,"""When the flag is set,  locod will be started and AT command can be passed through via USB cable all the way to modem side for testing purpose.""",,KFeatureIdTestATCommand,1721
FF_THEME_HAZE,"Haze theme is included in ROM image.
",414-5070,,
FF_THEME_JINGMASK,"Jingmask theme is included in ROM image.
",414-5070,,
FF_TOUCHSCREENCALIB_IN_STARTUP,"Touch Calibration UI is initiated at device startup.
",403-14166,KFeatureIdTouchscreencalibInStartup,69
FF_TOUCH_CALL_HANDLING,"Touch: Advanced components for CS Voice Telephony.","101-26663: Touch: Advanced components for CS Voice Telephony",KFeatureIdTouchCallHandling,1715
FF_TOUCH_UNLOCK_STROKE,"This flag enables user to response (for example answer) and unlock screen through sliders (software controls) to mobile terminated calls. This applies only to touch devices.",417-12868,KFeatureIdFfTouchUnlockStroke,173
FF_UPNP_FRAMEWORK_2_0,"Defines whether UPNP application is supported in the platform through MusicPlayer.",409-1054,KFeatureIdUpnpFramework20,70
FF_USB_CHARGING,"If it is defined, the Starter starts the UsbWatcher.exe in charging mode. 
The USB Watcher or USB MSC Personality Plug-in code is not variated. 
Note. This flag replaces RD_USB_CHARGING in 5.0 release.",101-39971,KFeatureIdUsbCharging,119
FF_USB_HOST,"The flag excludes all S60 USB host and OTG related components. ","""107-8379 USB on the go, 1st release 106-811 106-811: USB OTG: Audio device class host role for USB headset 101-35207 USB HID support in S60 Chili """,KFeatureIdUsbHost,1704
FF_USE_EGPRS_ICON,"The flag is used to enable EGPRS icon in the status pane. If the flag is disabled, GPRS icon must be shown instead of EGPRS icon.
",FJKI-7EEMV4,KFeatureIdUseEGprsIcon,121
FF_USE_MASS_STORAGE_CONFIG,"Flag is used for products to select in image creation time if mass storage drive configuration is used or not. The mass storage drive configuration is following: C=Phone memory, E=Internal mass storage and F=Memory card.","TSW Error: JPKN-7P6C4C",,
FF_USE_ZI_ENGINE,"On enabling this feature flag eZitext engine will be part of the Image and Ptiengine will utilize eZitext engine for editing features.",417-14311,,
FF_VANILLA_COMMSDAT,"The override flags FF_EMPTY_COMMSDAT, FF_VANILLA_COMMSDAT and FF_RND_COMMSDAT determine which default CommsDat will be put to the image independent of image type (prd or rnd):

- FF_EMPTY_COMMSDAT: Completely empty CommsDat is used. Typically needed as the base when creating operator variants with Configuration Tool and CommsDatCreator. Same as old FF_COMMSDAT_GENERATION_FROM_XML.

- FF_VANILLA_COMMSDAT: Otherwise empty CommsDat but the S60 default destinations (Internet, MMS and Operator) as well as the Easy WLAN IAP (in case of WLAN product) is included. This is suitable for vanilla variants of the phones.

- FF_RND_COMMSDAT: Platform releases contain typically the RND CommsDat that has Nokia Test Network IAPs as well as some Finnish operator IAPs (DNA, Sonera, Elisa) for RnD purposes.

Maximum of one of these flags should be defined at the time. 

If none of the override flags is defined then the used CommsDat depends on the image type: vanilla CommsDat is used for PRD image and RnD CommsDat for the RnD image. This is typically how it should be and the override flags should only be used if some special functionality is needed.
","TSW errors: MVLA-7JQG6U",,
FF_VIRTUAL_FULLSCR_QWERTY_INPUT,"Indicates whether a device needs Virtual full-screen qwerty input or not.
",403-6206,KFeatureIdVirtualFullscrQwertyInput,64
FF_VIRTUAL_ITUT_INPUT,"Indicates whether a device needs virtual ITUT input or not.",101-39836,KFeatureIdVirtualItutInput,65
FF_VMBX_CALL_DIVERT_ICON,"Feature flag controls whether or not a special icon is shown in status pane, when call divert is set against voice mailbox number. 
",403-12717,KFeatureIdVmbxCallDivertIcon,116
FF_VOICE_CALL_CONTINUITY,"With Voice Call Continuity it is possible to provide seamless user experience when user in transition between VoIP and cellular networks. This feature brings a method to seamlessly continue	ongoing voice call from VoIP to cellular and vice versa. VCC handover logic shall be implemments as installable plugin (SIS) in order to allow possibility to support several VCC signalling variations.
However VCC needed some platform changes to be fully functional (mainly at telephony components) and those changes must be run time variable.",403-9826,KFeatureIdFfVoiceCallContinuity,152
FF_VPN_CLIENT,"Feature flag is needed to manage whether VpnClient components are in ROM or not.",,KFeatureIdFfVpnClient,99
FF_WEBVIDEO_PH2,"When enabled/defined, WEBVIDEO for ph2 is used. This will use Helix XPS interface for video decoding and postprocessing.",101-32618,KFeatureIdWebvideoPh2,39
FF_WLANSNIFFER,"The purpose of the flag is to control whether the WlanSniffer2 application is to be integrated into 3.2 product builds or not.",NA,,
FF_WLANSNIFFER_VOIP_ENHANCEMENTS,"The WLAN Sniffer VoIP enhancements will provide easy way to connect to VoIP service via Sniffer's Active Idle plugin.",417-13286,KFeatureIdFfWlansnifferVoipEnhancements,156
FF_WLAN_EXTENSIONS,"Device supports extended WLAN functionalities e.g. for association and authentication.",417-22238,KFeatureIdFfWlanExtensions,177
FF_WLAN_WAPI," WLAN Authentication and Privacy Infrastructure (WAPI) is a Chinese national standard for WLAN security. Although WAPI was designed to operate on top of the IEEE 802.11 WLAN technologies, it is not compatible with the security schemes defined in IEEE 802.11 specifications. It specifies its own methods for WLAN authentication and data link protection.",415-2831,KFeatureIdFfWlanWapi,129
FF_WS_NCIM,"This run-time flag is required for enableing NCIM at the run-time. 
NCIM, here onwards called as ""Nokia account"".
There is a requirement to be able to remove NCIM feature at run-time.
A brief description of NCIM: 
To implement UI for Sign-up and Sign-In. Provide simple APIs for applications to launch Sign-up and Sign-in UIs. Offer Single Sign On for all applications using NCIM Device Enablers.  Handle all communication to NCIM backend regarding account creation, session handling, authentication and authorization.",403-13063,KFeatureIdFfWsNcim,153
FF_XML_IDLE_THEME_BASIC_IDLE,"Controls if Basic idle theme is going to image or not.",,,
